subject,subject_grades,subject_session
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20013-DISCRETE MATHEMATICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,A,Spring21
CY11001-CHEMISTRY,D,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,D,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,D,Spring20
ME10001-MECHANICS,P,Spring20
PH11001-PHYSICS,D,Spring20
PH19001-PHYSICS LAB.,B,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,B,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
HS30036-INTERCULTURAL COMMUNICATION,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,C,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,B,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
CY11001-CHEMISTRY,B,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,D,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME10001-MECHANICS,B,Spring20
PH11001-PHYSICS,D,Spring20
PH19001-PHYSICS LAB.,B,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
HS30075-MODERNISATION AND CREATIVE COMMUNICATION,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,A,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,C,Spring21
MA20013-DISCRETE MATHEMATICS,B,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,D,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,C,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,D,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,C,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,A,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,B,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
RX60018-,C,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,B,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,D,Spring21
HS20009-DEVELOPMENT ECONOMICS,B,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,P,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,D,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,C,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
HS30036-INTERCULTURAL COMMUNICATION,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,B,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,C,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,A,Autumn20
HS20007-MACRO ECONOMICS-I,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
RX60018-,D,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,B,Spring21
HS20008-MACRO ECONOMICS-II,EX,Spring21
HS20009-DEVELOPMENT ECONOMICS,B,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,C,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20004-POSITIVE PSYCHOLOGY,A,Autumn20
HS20005-MICRO ECONOMICS-I,A,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,C,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
AI61005-,A,Spring21
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,A,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,A,Autumn20
HS30095-GLOBALISATION AND CULTURE,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,A,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
AI61005-,A,Spring21
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,A,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,D,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,B,Autumn19
PH19001-PHYSICS LAB.,A,Autumn19
CY11001-CHEMISTRY,B,Spring20
CY19001-CHEMISTRY LAB.,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
EE11001-ELECTRICAL TECHNOLOGY,D,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,B,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,B,Autumn20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,A,Autumn20
HS30073-ENVIRONMENTAL SOCIOLOGY,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
AI61005-,A,Spring21
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,A,Spring21
HS20009-DEVELOPMENT ECONOMICS,C,Spring21
MA20013-DISCRETE MATHEMATICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,B,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,EX,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring20
EE11001-ELECTRICAL TECHNOLOGY,B,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring20
HS13001-ENGLISH FOR COMMUNICATION,EX,Spring20
MA10002-MATHEMATICS-II,EX,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,EX,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,EX,Autumn20
HS60044-,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
MA30003-LINEAR ALGEBRA,C,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,EX,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,EX,Spring21
MA20013-DISCRETE MATHEMATICS,EX,Spring21
MA20104-PROBABILITY & STATISTICS,B,Spring21
MA30014-OPERATION RESEARCH,A,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,C,Spring20
CY19001-CHEMISTRY LAB.,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
EE11001-ELECTRICAL TECHNOLOGY,D,Spring20
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring20
HS13001-ENGLISH FOR COMMUNICATION,C,Spring20
MA10002-MATHEMATICS-II,A,Spring20
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20004-POSITIVE PSYCHOLOGY,A,Autumn20
HS20005-MICRO ECONOMICS-I,B,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,B,Spring21
MA20013-DISCRETE MATHEMATICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
CY11001-CHEMISTRY,D,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,D,Spring20
ME10001-MECHANICS,C,Spring20
PH11001-PHYSICS,P,Spring20
PH19001-PHYSICS LAB.,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20004-POSITIVE PSYCHOLOGY,A,Autumn20
HS20005-MICRO ECONOMICS-I,B,Autumn20
HS20007-MACRO ECONOMICS-I,C,Autumn20
IM21003-OPERATIONS RESEARCH-I,C,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,C,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,P,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,B,Spring21
HS20009-DEVELOPMENT ECONOMICS,B,Spring21
MA20104-PROBABILITY & STATISTICS,C,Spring21
CY11001-CHEMISTRY,C,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,D,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,P,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,C,Spring20
ME10001-MECHANICS,D,Spring20
PH11001-PHYSICS,B,Spring20
PH19001-PHYSICS LAB.,EX,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,A,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
HS30075-MODERNISATION AND CREATIVE COMMUNICATION,C,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,A,Spring21
HS20008-MACRO ECONOMICS-II,A,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,D,Spring21
CY11001-CHEMISTRY,A,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME10001-MECHANICS,D,Spring20
PH11001-PHYSICS,C,Spring20
PH19001-PHYSICS LAB.,A,Spring20
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,A,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
HS30084-ECONOMIC PSYCHOLOGY,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,B,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
AI61005-,A,Spring21
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,C,Spring21
HS20008-MACRO ECONOMICS-II,C,Spring21
HS20009-DEVELOPMENT ECONOMICS,A,Spring21
MA20104-PROBABILITY & STATISTICS,A,Spring21
CY11001-CHEMISTRY,B,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME10001-MECHANICS,D,Spring20
PH11001-PHYSICS,C,Spring20
PH19001-PHYSICS LAB.,EX,Spring20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,A,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
HS30075-MODERNISATION AND CREATIVE COMMUNICATION,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring21
EA10004-EXTRA ACADEMIC ACTIVITY-IV,,Spring21
EV20001-ENVIRONMENTAL SCIENCE,A,Spring21
HS20006-MICRO ECONOMICS-II,C,Spring21
HS20008-MACRO ECONOMICS-II,C,Spring21
HS20009-DEVELOPMENT ECONOMICS,B,Spring21
MA20104-PROBABILITY & STATISTICS,EX,Spring21
CY11001-CHEMISTRY,B,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,D,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME10001-MECHANICS,C,Spring20
